ZCTA,Diagnosed diabetes among adults aged >=18 years,Mental health not good for >=14 days among adults aged >=18 years,Stroke among adults aged >=18 years
17058,0.107,0.16899999999999998,0.036000000000000004
17059,0.111,0.165,0.038
17060,0.102,0.17300000000000001,0.033
17061,0.105,0.16399999999999998,0.037000000000000005
17062,0.10099999999999999,0.16399999999999998,0.032
17063,0.111,0.17300000000000001,0.038
17064,0.11900000000000001,0.125,0.039
17065,0.08800000000000001,0.156,0.027999999999999997
17066,0.12300000000000001,0.182,0.04
17067,0.105,0.158,0.036000000000000004
17068,0.099,0.163,0.033
17069,0.099,0.166,0.031
17070,0.084,0.142,0.027000000000000003
17071,0.125,0.172,0.04
17072,0.065,0.142,0.02
17073,0.09300000000000001,0.16399999999999998,0.03
17074,0.10300000000000001,0.171,0.032
17075,0.122,0.172,0.039
17078,0.096,0.145,0.032
17080,0.115,0.18600000000000003,0.039
17081,0.096,0.158,0.033
17082,0.106,0.171,0.034
17083,0.08900000000000001,0.146,0.031
17084,0.113,0.16899999999999998,0.039
17086,0.1,0.175,0.035
17087,0.094,0.166,0.03
17088,0.098,0.16,0.034
17090,0.094,0.172,0.028999999999999998
17093,0.07400000000000001,0.155,0.026000000000000002
17094,0.11900000000000001,0.18,0.04
17097,0.132,0.18,0.043
17098,0.115,0.182,0.037000000000000005
17099,0.10099999999999999,0.166,0.033
17101,0.12300000000000001,0.156,0.036000000000000004
17102,0.111,0.16899999999999998,0.032
17103,0.149,0.2,0.040999999999999995
17104,0.152,0.209,0.04
17109,0.11,0.163,0.034
17110,0.11,0.163,0.033
17111,0.09699999999999999,0.154,0.03
17112,0.086,0.14,0.027000000000000003
17113,0.127,0.18100000000000002,0.038
17201,0.10800000000000001,0.163,0.037000000000000005
17202,0.095,0.153,0.031
17210,0.132,0.17,0.042
17211,0.121,0.154,0.039
17212,0.113,0.165,0.037000000000000005
17213,0.11800000000000001,0.17300000000000001,0.036000000000000004
17214,0.095,0.157,0.03
